epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1718,1.28837,3.25594,1.44162,0.00574,0.8,0.29278,0.16471,1.12618,3.61631,1.54513,2.858e-05,2.858e-05,2.858e-05
2,34.8286,1.21068,3.13588,1.39596,0.00582,0.8,0.39023,0.23545,1.05781,3.57588,1.45865,7.00353e-05,7.00353e-05,7.00353e-05
3,46.4022,1.10909,2.9995,1.35927,0.00656,0.86667,0.43997,0.28672,1.03239,3.52808,1.36406,0.000109793,0.000109793,0.000109793
4,57.8765,1.13381,2.67453,1.34072,0.00718,0.93333,0.45365,0.29625,1.01576,3.46734,1.33742,0.000147853,0.000147853,0.000147853
5,68.2463,1.12127,2.37056,1.29356,0.00741,0.93333,0.51408,0.34633,0.99954,3.34788,1.29155,0.000184215,0.000184215,0.000184215
6,79.4934,1.08261,1.97484,1.32774,0.00737,0.9,0.50414,0.3181,1.05057,3.20043,1.32645,0.00021888,0.00021888,0.00021888
7,89.8273,1.03039,1.79988,1.30873,0.14174,0.8,0.50371,0.29815,1.12161,3.17088,1.41567,0.000251847,0.000251847,0.000251847
8,100.126,1.00096,1.56745,1.27084,0.00839,0.86667,0.51946,0.29306,1.12663,3.21111,1.4405,0.000283116,0.000283116,0.000283116
9,111.078,0.98517,1.4364,1.25395,0.0074,0.86667,0.58271,0.33799,1.14016,3.20916,1.44829,0.000312688,0.000312688,0.000312688
10,121.433,0.97458,1.31137,1.24355,0.85589,0.46267,0.62929,0.3585,1.13794,3.18639,1.41821,0.000340562,0.000340562,0.000340562
11,132.15,0.98362,1.36955,1.25289,0.89845,0.07814,0.65241,0.40659,1.11995,3.09167,1.38157,0.000366739,0.000366739,0.000366739
12,142.509,0.91251,1.21994,1.17184,0.91509,0.09811,0.65377,0.4071,1.11292,3.04209,1.39974,0.000391217,0.000391217,0.000391217
13,153.783,0.92778,1.22273,1.20392,0.89398,0.35997,0.71565,0.43924,1.17594,2.88369,1.48419,0.000413998,0.000413998,0.000413998
14,164.23,0.89909,1.25694,1.19305,0.87514,0.36561,0.72902,0.4227,1.21721,2.79389,1.52431,0.000435082,0.000435082,0.000435082
15,174.862,0.94565,1.13406,1.18668,0.73346,0.36667,0.72766,0.44322,1.21175,2.7011,1.53979,0.000454468,0.000454468,0.000454468
16,185.043,0.87191,1.09119,1.14388,0.72908,0.4,0.71176,0.44589,1.18593,2.72261,1.50208,0.000472156,0.000472156,0.000472156
17,195.802,0.87005,1.07965,1.17005,0.81276,0.45449,0.73508,0.43218,1.18937,2.72737,1.48764,0.000488146,0.000488146,0.000488146
18,206.156,0.87234,1.08676,1.13458,0.80376,0.51447,0.72082,0.41014,1.21478,2.71766,1.53967,0.000502439,0.000502439,0.000502439
19,216.811,0.85905,1.10147,1.16685,0.82172,0.54255,0.6743,0.40958,1.27203,2.68586,1.61527,0.000515034,0.000515034,0.000515034
20,227.39,0.89445,1.11262,1.17748,0.7536,0.53333,0.7225,0.44233,1.22179,2.6958,1.61788,0.000525932,0.000525932,0.000525932
21,237.969,0.85927,1.06527,1.14131,0.70588,0.59713,0.77623,0.50093,1.26963,2.51226,1.6232,0.000535132,0.000535132,0.000535132
22,250.059,0.80539,1.04135,1.0872,0.74031,0.56667,0.75082,0.50978,1.23188,2.39769,1.5702,0.000542634,0.000542634,0.000542634
23,262.148,0.77616,0.98894,1.08988,0.78629,0.58863,0.80101,0.54324,1.22885,2.31136,1.50818,0.000548439,0.000548439,0.000548439
24,272.637,0.82129,1.05188,1.14634,0.79388,0.62848,0.81208,0.52468,1.26401,2.31936,1.52384,0.000552546,0.000552546,0.000552546
25,283.703,0.87098,1.03836,1.19223,0.75545,0.59638,0.80028,0.54213,1.26338,2.41146,1.48018,0.000554955,0.000554955,0.000554955
26,294.386,0.79109,0.97986,1.11205,0.88677,0.64561,0.84076,0.55928,1.26991,2.43591,1.47984,0.000555667,0.000555667,0.000555667
27,305.851,0.86899,1.02442,1.16014,0.79343,0.64859,0.83641,0.5308,1.27218,2.43767,1.51119,0.000554681,0.000554681,0.000554681
28,316.902,0.82007,1.03839,1.12541,0.79249,0.65283,0.85323,0.50303,1.31966,2.45738,1.59915,0.000551997,0.000551997,0.000551997
29,327.107,0.79577,0.97337,1.10412,0.79249,0.65283,0.85323,0.50303,1.31966,2.45738,1.59915,0.000547616,0.000547616,0.000547616
30,337.431,0.79633,0.98531,1.10828,0.74891,0.6156,0.80896,0.47403,1.3132,2.41193,1.60261,0.000541537,0.000541537,0.000541537
31,347.852,0.74848,0.8945,1.09118,0.91554,0.6158,0.81401,0.49278,1.30728,2.27316,1.63398,0.00053376,0.00053376,0.00053376
32,358.15,0.66354,0.8646,1.03272,0.83502,0.63023,0.83841,0.53107,1.28034,2.1111,1.63506,0.000524286,0.000524286,0.000524286
33,368.477,0.73325,0.90598,1.07068,0.83502,0.63023,0.83841,0.53107,1.28034,2.1111,1.63506,0.000513114,0.000513114,0.000513114
34,379.536,0.74617,0.92473,1.12076,0.76954,0.8051,0.87827,0.57251,1.23942,2.02773,1.59201,0.000495291,0.000495291,0.000495291
35,390.051,0.80626,0.94017,1.11958,0.76316,0.74098,0.89318,0.56863,1.23537,1.9934,1.59225,0.000466997,0.000466997,0.000466997
36,400.581,0.71602,0.90928,1.11983,0.83178,0.77158,0.86983,0.54549,1.30357,2.01428,1.65714,0.000438703,0.000438703,0.000438703
37,411.872,0.78593,0.92443,1.09515,0.83178,0.77158,0.86983,0.54549,1.30357,2.01428,1.65714,0.000410409,0.000410409,0.000410409
38,422.337,0.75465,0.89593,1.042,0.74341,0.77992,0.87068,0.53811,1.33175,1.97112,1.67913,0.000382115,0.000382115,0.000382115
39,433.926,0.7512,0.89515,1.09245,0.81449,0.77706,0.89571,0.54473,1.35092,1.86148,1.66902,0.00035382,0.00035382,0.00035382
40,444.397,0.70553,0.91452,1.07969,0.8206,0.78807,0.8956,0.55904,1.33323,1.83152,1.62504,0.000325526,0.000325526,0.000325526
41,455.128,0.56873,0.99672,1.00306,0.8206,0.78807,0.8956,0.55904,1.33323,1.83152,1.62504,0.000297232,0.000297232,0.000297232
42,465.47,0.58492,0.99259,0.96715,0.91524,0.70722,0.90554,0.57,1.34732,1.84599,1.61714,0.000268938,0.000268938,0.000268938
43,475.582,0.57854,0.95427,1.01443,0.91361,0.71047,0.90185,0.55565,1.33966,1.89932,1.63101,0.000240644,0.000240644,0.000240644
44,485.638,0.57059,0.95707,0.9724,0.93832,0.78267,0.92032,0.55537,1.35065,1.92175,1.64758,0.000212349,0.000212349,0.000212349
45,495.975,0.50365,0.92483,0.94712,0.93832,0.78267,0.92032,0.55537,1.35065,1.92175,1.64758,0.000184055,0.000184055,0.000184055
46,506.234,0.53587,0.90605,0.94631,0.83431,0.86987,0.93401,0.55096,1.30353,1.88538,1.61104,0.000155761,0.000155761,0.000155761
47,516.62,0.52904,0.92922,0.94237,0.91673,0.82168,0.93897,0.56615,1.28086,1.86439,1.58537,0.000127467,0.000127467,0.000127467
48,527.841,0.51577,0.91576,0.97088,0.9412,0.83752,0.93851,0.56399,1.27075,1.77277,1.55314,9.91726e-05,9.91726e-05,9.91726e-05
49,538.347,0.54787,0.93018,0.91889,0.9412,0.83752,0.93851,0.56399,1.27075,1.77277,1.55314,7.08784e-05,7.08784e-05,7.08784e-05
50,550.784,0.49747,0.87224,0.91115,0.96872,0.82328,0.93864,0.56243,1.27556,1.73945,1.55463,4.25842e-05,4.25842e-05,4.25842e-05
